|       date | actual_mean_temp | actual_min_temp | actual_max_temp | average_min_temp | average_max_temp | record_min_temp | record_max_temp | record_min_temp_year | record_max_temp_year | actual_precipitation | average_precipitation | record_precipitation |
| 2014-07-01 |               84 |              74 |              94 |               75 |               93 |              66 |             102 |                1,985 |                1,980 |                 0.00 |                  0.16 |                 1.40 |
| 2014-07-05 |               82 |              73 |              90 |               75 |               93 |              66 |             102 |                1,924 |                2,009 |                 0.31 |                  0.16 |                 3.04 |
| 2014-07-15 |               82 |              75 |              89 |               75 |               94 |              64 |             103 |                1,967 |                2,000 |                 0.06 |                  0.12 |                 4.32 |
| 2014-07-23 |               86 |              76 |              95 |               75 |               94 |              64 |             101 |                1,970 |                1,980 |                 0.07 |                  0.11 |                 2.36 |
| 2014-07-26 |               87 |              78 |              95 |               75 |               94 |              68 |             105 |                1,972 |                1,954 |                 0.00 |                  0.11 |                 2.35 |
| 2014-07-27 |               87 |              77 |              97 |               75 |               95 |              66 |             101 |                1,902 |                1,995 |                 0.00 |                  0.10 |                 5.22 |
| 2014-07-28 |               88 |              77 |              99 |               75 |               95 |              66 |             103 |                1,891 |                1,995 |                 0.00 |                  0.10 |                 2.52 |
| 2014-07-30 |               83 |              72 |              94 |               75 |               95 |              68 |             102 |                1,994 |                1,914 |                 0.00 |                  0.09 |                 2.11 |
| 2014-08-08 |               87 |              77 |              97 |               75 |               95 |              68 |             104 |                1,990 |                1,962 |                 0.10 |                  0.10 |                 1.66 |
| 2014-08-10 |               86 |              78 |              94 |               75 |               95 |              62 |             104 |                1,989 |                1,962 |                 0.00 |                  0.11 |                 2.88 |
| 2014-08-11 |               86 |              75 |              97 |               75 |               95 |              65 |             102 |                1,989 |                2,011 |                 0.25 |                  0.10 |                 2.72 |
| 2014-08-13 |               84 |              73 |              94 |               75 |               95 |              64 |             104 |                2,004 |                1,962 |                 0.00 |                  0.11 |                 1.82 |
| 2014-08-15 |               86 |              75 |              96 |               75 |               95 |              61 |             101 |                2,004 |                1,994 |                 0.00 |                  0.11 |                 2.74 |
| 2014-08-16 |               89 |              80 |              98 |               75 |               95 |              63 |             102 |                2,004 |                1,925 |                 0.00 |                  0.12 |                 3.95 |
| 2014-08-17 |               88 |              78 |              97 |               75 |               95 |              60 |             104 |                1,992 |                1,909 |                 0.00 |                  0.12 |                 3.57 |
| 2014-08-19 |               85 |              76 |              94 |               75 |               95 |              69 |             107 |                2,000 |                1,909 |                 0.00 |                  0.13 |                 1.85 |
| 2014-08-20 |               85 |              74 |              96 |               75 |               95 |              65 |             107 |                1,976 |                1,909 |                 0.01 |                  0.13 |                 1.80 |
| 2014-08-21 |               87 |              76 |              98 |               75 |               94 |              63 |             106 |                1,940 |                1,909 |                 0.00 |                  0.13 |                 2.00 |
| 2014-08-23 |               87 |              75 |              98 |               75 |               94 |              64 |             107 |                1,973 |                1,980 |                 0.00 |                  0.13 |                 2.46 |
| 2014-08-24 |               86 |              74 |              98 |               75 |               94 |              54 |             105 |                1,891 |                1,980 |                 0.00 |                  0.14 |                 2.48 |
| 2014-08-30 |               84 |              75 |              92 |               74 |               93 |              62 |             104 |                1,986 |                2,000 |                 0.00 |                  0.15 |                 2.56 |
| 2014-09-01 |               84 |              74 |              93 |               74 |               93 |              63 |             107 |                1,915 |                2,000 |                 0.36 |                  0.15 |                 2.22 |
| 2014-09-02 |               85 |              76 |              94 |               73 |               93 |              60 |             104 |                1,893 |                2,000 |                 0.00 |                  0.14 |                 1.81 |
| 2014-09-06 |               85 |              75 |              95 |               73 |               92 |              56 |              99 |                1,974 |                1,909 |                 0.16 |                  0.14 |                 2.90 |
| 2014-09-12 |               82 |              75 |              89 |               71 |               91 |              56 |             101 |                1,907 |                1,909 |                 0.02 |                  0.15 |                 2.25 |
| 2014-09-13 |               72 |              67 |              77 |               71 |               90 |              56 |             102 |                1,907 |                2,011 |                 0.01 |                  0.15 |                 7.73 |
| 2014-09-18 |               77 |              73 |              81 |               69 |               89 |              54 |              99 |                2,000 |                1,927 |                 2.31 |                  0.13 |                 2.53 |
| 2014-09-22 |               83 |              72 |              93 |               68 |               88 |              49 |             100 |                1,983 |                2,005 |                 0.00 |                  0.12 |                 3.14 |
| 2014-09-25 |               74 |              68 |              80 |               67 |               87 |              50 |              99 |                1,994 |                2,005 |                 0.00 |                  0.13 |                 3.05 |
| 2014-09-26 |               77 |              68 |              86 |               67 |               87 |              49 |              99 |                2,000 |                2,005 |                 0.00 |                  0.13 |                 2.86 |
| 2014-09-27 |               79 |              71 |              86 |               66 |               87 |              45 |             100 |                1,942 |                2,005 |                 0.00 |                  0.13 |                 3.46 |
| 2014-09-30 |               80 |              71 |              89 |               65 |               86 |              47 |              95 |                1,890 |                1,998 |                 0.00 |                  0.13 |                 2.55 |
| 2014-10-03 |               74 |              63 |              84 |               65 |               85 |              45 |              95 |                1,975 |                1,994 |                 0.32 |                  0.17 |                 3.24 |
| 2014-10-04 |               68 |              59 |              77 |               64 |               85 |              43 |              95 |                1,975 |                2,002 |                 0.00 |                  0.17 |                 3.60 |
| 2014-10-06 |               75 |              65 |              84 |               64 |               85 |              44 |              94 |                1,975 |                1,928 |                 0.69 |                  0.17 |                 4.42 |
| 2014-10-09 |               79 |              68 |              90 |               63 |               84 |              40 |              93 |                1,976 |                1,962 |                 0.00 |                  0.17 |                 3.60 |
| 2014-10-10 |               83 |              75 |              91 |               63 |               84 |              43 |              95 |                1,908 |                1,962 |                 0.03 |                  0.17 |                 3.50 |
| 2014-10-13 |               72 |              59 |              85 |               62 |               83 |              36 |              94 |                1,977 |                1,991 |                 0.61 |                  0.18 |                 2.55 |
| 2014-10-19 |               72 |              62 |              81 |               60 |               81 |              36 |              94 |                1,989 |                2,004 |                 0.00 |                  0.21 |                 1.23 |
| 2014-10-23 |               69 |              58 |              80 |               59 |               80 |              40 |              91 |                1,996 |                1,988 |                 0.00 |                  0.20 |                 3.79 |
| 2014-10-24 |               68 |              54 |              82 |               59 |               80 |              39 |              92 |                1,908 |                1,931 |                 0.00 |                  0.19 |                 2.13 |
| 2014-10-25 |               70 |              55 |              85 |               59 |               80 |              39 |              91 |                1,980 |                1,950 |                 0.00 |                  0.20 |                 9.25 |
| 2014-10-26 |               71 |              56 |              85 |               58 |               79 |              39 |              92 |                1,892 |                2,010 |                 0.00 |                  0.20 |                 2.43 |
| 2014-11-03 |               67 |              53 |              80 |               56 |               77 |              30 |              87 |                1,999 |                1,992 |                 0.00 |                  0.15 |                 3.09 |
| 2014-11-04 |               72 |              62 |              82 |               56 |               76 |              28 |              89 |                1,991 |                1,988 |                 0.00 |                  0.16 |                 3.20 |
| 2014-11-05 |               69 |              64 |              74 |               55 |               76 |              31 |              88 |                1,991 |                1,963 |                 1.12 |                  0.16 |                 5.22 |
| 2014-11-07 |               57 |              49 |              65 |               55 |               75 |              29 |              88 |                1,993 |                2,002 |                 0.00 |                  0.15 |                 1.46 |
| 2014-11-11 |               60 |              49 |              71 |               54 |               74 |              32 |              87 |                1,977 |                1,978 |                 0.01 |                  0.16 |                 1.88 |
| 2014-11-15 |               48 |              43 |              53 |               52 |               73 |              25 |              88 |                1,969 |                1,978 |                 0.30 |                  0.14 |                 2.80 |
| 2014-11-17 |               44 |              36 |              52 |               52 |               72 |              31 |              85 |                1,997 |                2,013 |                 0.00 |                  0.14 |                 5.19 |
